Found 1843 _metadata.json files

================================================================================
FIELD STATISTICS
================================================================================
Total fields (from all files): 13712
Total check (non-dup + sum of dup counts): 13712
Unique fields: 2711
Duplicate fields (out of unique): 1120
Non-duplicate fields (out of unique): 1591

================================================================================
DUPLICATE FIELDS (sorted by frequency)
================================================================================

 353x | Jahr
   1x | in einem der alten Bundesländer; Angaben in Prozent
   1x | in öffentlichen Apotheken - insgesamt
   1x | in öffentlichen Apotheken - männlich
   1x | in öffentlichen Apotheken - weiblich
   1x | inbetrieb_am
   1x | insgesamt
   1x | installationdate
   1x | interventionskategorie
   1x | ja; Angaben in Prozent
   1x | jahr
   1x | kandidat_akadgrad
   1x | kandidat_beruftaetigkeit
   1x | kandidat_gebiet_name
   1x | kandidat_gebiet_nr
   1x | kandidat_listennr
   1x | kandidat_name
   1x | kandidat_partei_kurzname
   1x | kandidat_partei_langname
   1x | kandidat_vorname
   1x | kandidierende
   1x | kat_erschl
   1x | kat_sstrgs
   1x | kein Garten, habe aber Interesse daran
   1x | kein Garten, habe auch kein Interesse daran
   1x | kinderzahl
   1x | klass_netz
   1x | knoten
   1x | knoten_01
   1x | kofinanzierung_aus_nationalen_öffentlichen_Mitteln
   1x | kofinanzierungssatz_in_prozent
   1x | kr_durchm
   1x | ladeart
   1x | ladeeinr_art
   1x | laenge_m
   1x | laengengrad
   1x | laufende Nummer    
   1x | letzte_bewaesserung
   1x | lfd. Nr.
   1x | mehrfach
   1x | möglicherweise; Angaben in Prozent
   1x | nachpflanzung_geplant
   1x | name_des_beguenstigten
   1x | name_des_begünstigten
   1x | nein; Angaben in Prozent
   1x | next
   1x | nicht zahlende Besucherinnen
und Besucher
   1x | north_etrs89
   1x | nr_senatsverwaltung
   1x | nummer
   1x | objektkuerzel
   1x | of_uf
   1x | original names
   1x | originalbild
   1x | ortsd_text
   1x | ortsdurchf
   1x | ortsteilname
   1x | ortsteilnummer
   1x | p1_kw
   1x | p2_5
   1x | p2_kw
   1x | p3_kw
   1x | p4_kw
   1x | p50
   1x | p90
   1x | p95
   1x | p97_5
   1x | page
   1x | parkingfacility_hnr
   1x | parkingfacility_hnr_z
   1x | parkingfacility_ort
   1x | parkingfacility_plz
   1x | parkingfacility_str
   1x | parkingfacilityaddressinfo
   1x | parkingfacilitycost
   1x | parkingfacilitydisabledparking
   1x | parkingfacilityecharging
   1x | parkingfacilityopen
   1x | parkingfacilityopeninfo
   1x | parkingfacilitytype
   1x | parkingfacilityurl
   1x | partei-stimmzettel-position
   1x | patenschaftsnummer
   1x | ped_lft
   1x | ped_rgt
   1x | ped_total
   1x | personenzahl
   1x | pgrID
   1x | pgrNAME
   1x | plrID
   1x | plrNAME
   1x | plz_ort
   1x | previous
   1x | projektnummer
   1x | properties.BEZIRK
   1x | properties.BEZIRKSREG
   1x | properties.BLOCK_ADDR
   1x | properties.BLOCK_ID
   1x | properties.BLOCK_NAME
   1x | properties.BLOCK_SIDE
   1x | properties.BUS
   1x | properties.CAR_SHARE
   1x | properties.CENTRE_POI
   1x | properties.CONSTRUCTI
   1x | properties.DISABLED
   1x | properties.Direction
   1x | properties.EINWOZAHL
   1x | properties.END_OFFSET
   1x | properties.EV
   1x | properties.FREE_PARK
   1x | properties.LENGTH_PER
   1x | properties.Lane
   1x | properties.Location
   1x | properties.OT
   1x | properties.PAID_PARK
   1x | properties.PLANRAUM
   1x | properties.Position
   1x | properties.RATES
   1x | properties.RESIDENTIA
   1x | properties.RESTRICTIO
   1x | properties.SBZ
   1x | properties.SEGMENTID
   1x | properties.SEG_LENGTH
   1x | properties.SPACES_CAR
   1x | properties.SPACES_DIS
   1x | properties.SPACES_EV
   1x | properties.SPACES_TAX
   1x | properties.START_OFFS
   1x | properties.STB
   1x | properties.Start of Operation
   1x | properties.TAXI
   1x | properties.TOTAL_SPAC
   1x | properties.area
   1x | properties.b_type
   1x | properties.category
   1x | properties.info
   1x | properties.inter_id
   1x | properties.job_id
   1x | properties.name
   1x | properties.teuID
   1x | publictoilet
   1x | publictransportbarrierfree
   1x | publictransportbarrierfreeinfo
   1x | publictransportlineheavyrail
   1x | publictransportlinetram
   1x | publictransporturl
   1x | quelle
   1x | region1
   1x | results
   1x | schul_id
   1x | schulart
   1x | schule
   1x | schulnummer
   1x | schultraeger
   1x | schutzzweck
   1x | segment_id
   1x | sekundäres_ESF-Thema
   1x | sitze
   1x | so_av_id
   1x | so_av_tx
   1x | so_beg
   1x | so_bof
   1x | so_change
   1x | so_end
   1x | so_entf
   1x | so_fun_id
   1x | so_fun_tx
   1x | so_gid
   1x | so_id
   1x | so_kt
   1x | so_la_id
   1x | so_la_tx
   1x | so_lb_id
   1x | so_lb_tx
   1x | so_lc_id
   1x | so_lc_tx
   1x | so_ld_id
   1x | so_ld_tx
   1x | so_mat_id
   1x | so_mat_tx
   1x | so_prj
   1x | so_seg_id
   1x | so_seg_sb
   1x | so_seg_sid
   1x | so_seg_sn
   1x | so_sym_id
   1x | so_sym_tx
   1x | so_sym_wk
   1x | so_typ
   1x | so_vs
   1x | so_x
   1x | so_y
   1x | so_zu_id
   1x | so_zu_tx
   1x | sonstige Form des Gärtnerns
   1x | sonstige Rechtsformen
   1x | sstrgsname
   1x | st_durchm
   1x | st_umfang
   1x | stadtbez
   1x | stadtteile
   1x | stala_id
   1x | stammumfang
   1x | standort
   1x | standort beauftragt
   1x | standzeitraum
   1x | status_patenbaum
   1x | steckertyp_1
   1x | steckertyp_2
   1x | steckertyp_3
   1x | steckertyp_4
   1x | stichworte
   1x | str
   1x | str_nr
   1x | territoriale_umsetzungsmechanismen
   1x | themenfeld
   1x | tiefbau 
   1x | timestamp
   1x | titel
   1x | totalparkingcapacity
   1x | traeger
   1x | tstamp
   1x | tägliche Niederschlagshöhe
   1x | tägliche Sonnenscheindauer
   1x | ungueltige_stimmzettel
   1x | unions-kofinanzierungssatz_pro_prioritŠtsachse
   1x | uptime
   1x | url
   1x | utm_east
   1x | utm_north
   1x | v85
   1x | veranstaltungen.veranstaltung
   1x | version="1.0"?>
   1x | von_str
   1x | von_str_nr
   1x | vorgemerkte Adoptionsbewerbungen am Jahresende
   1x | vz_aufst
   1x | vz_bez
   1x | vz_ftyp
   1x | vz_gr
   1x | vz_kat_nr
   1x | vz_lr
   1x | vz_nr
   1x | vz_pos
   1x | vz_rtg_id
   1x | vz_rtg_tx
   1x | vz_seg_id
   1x | vz_seg_sid
   1x | vz_seg_sn
   1x | vz_var
   1x | vz_wnkl
   1x | vz_zus_tx
   1x | waehler-t1
   1x | waehler-t2
   1x | waehler-t3
   1x | waehler-t4
   1x | waehler-t5
   1x | waehler-t6
   1x | waehler-t7
   1x | waehler-t8
   1x | wahlobjekte
   1x | wahlobjekte-fremd
   1x | wahlobjekte-staedtisch-schulen
   1x | wahlobjekte-staedtisch-sonstige
   1x | wahlraeume
   1x | wahlraeume-barrierefrei
   1x | wintkat
   1x | wiss_name
   1x | x
   1x | x_wert
   1x | y
   1x | y_wert
   1x | zahlende 
Besucherinnen
und  Besucher
   1x | zeitraum-ende
   1x | zeitraum-start
   1x | zw
   1x | |------------------------------------------------------|
   1x | Öffentliche Apotheken
   1x | Öffnung
   1x | Öffnungszeiten
   1x | Öffnungszeiten Ende
   1x | Öffnungszeiten Start
   1x | Über uns
   1x | Überplanmäßige Ausgaben
   1x | Überplanmäßige VE
   1x | Übrige Wirtschaftsbereiche (A, B, D, E, P)
   1x | öffentliche Ausschreibung
   1x | übrige Unfälle mit schwerwiegendem Sachschaden ohne Alkoholeinfluss
